time (s)	det(V)
3397.439527	0.036486	
3397.441527	0.034489	
3397.445527	0.042401	
3397.449527	0.039011	
3397.451527	0.030881	
3397.453527	0.039532	
3397.455527	0.030402	
3397.457527	0.027074	
3397.459527	0.038817	
3397.461527	0.026823	
3397.463527	0.022814	
3397.467527	0.028725	
3397.469527	0.016040	
3397.471529	0.018622	
3397.473527	0.007190	
3397.475527	0.019171	
3397.477527	0.014757	
3397.479533	0.005387	
3397.481527	0.013874	
3397.483528	-0.006814	
3397.485527	-0.016813	
3397.489527	-0.012800	
3397.491527	-0.026567	
3397.493527	-0.017331	
3397.495527	-0.031455	
3397.497527	-0.026651	
3397.499526	-0.036120	
3397.501527	-0.055770	
3397.505526	-0.053866	
3397.507527	-0.087311	
3397.511527	-0.080806	
3397.513527	-0.095118	
3397.515527	-0.095212	
3397.517526	-0.123242	
3397.519527	-0.130224	
3397.521527	-0.139778	
3397.523527	-0.165525	
3397.527529	-0.172376	
3397.531527	-0.205559	
3397.533527	-0.228590	
3397.535527	-0.251836	
3397.537527	-0.259102	
3397.539527	-0.291581	
3397.541527	-0.306412	
3397.545527	-0.323263	
3397.547528	-0.373845	
3397.551527	-0.402631	
3397.553527	-0.449876	
3397.555528	-0.485787	
3397.557527	-0.523384	
3397.559527	-0.542548	
3397.561527	-0.581979	
3397.565527	-0.620932	
3397.567527	-0.713808	
3397.571528	-0.752203	
3397.573529	-0.849757	
3397.575527	-0.889422	
3397.577527	-0.941954	
3397.579529	-1.002672	
3397.581528	-1.049766	
3397.585527	-1.117980	
3397.589527	-1.248990	
3397.591527	-1.394799	
3397.593529	-1.453899	
3397.595526	-1.541080	
3397.597527	-1.613665	
3397.599529	-1.656339	
3397.601527	-1.656748	
3397.603528	-1.656869	
3397.605527	-1.657045	
3397.609527	-1.657146	
3397.611527	-1.657374	
3397.613528	-1.657538	
3397.615527	-1.657623	
3397.617527	-1.657758	
3397.619527	-1.657904	
3397.621527	-1.658061	
3397.623527	-1.658129	
3397.625527	-1.658229	
3397.629526	-1.658285	
3397.631527	-1.658327	
3397.633527	-1.658369	
3397.635527	-1.658329	
3397.637526	-1.658256	
3397.639527	-1.658296	
3397.641529	-1.658289	
3397.643527	-1.658276	
3397.645527	-1.658320	
3397.649526	-1.658318	
3397.651527	-1.658284	
3397.653527	-1.658423	
3397.655528	-1.658277	
3397.657527	-1.658309	
3397.659527	-1.658277	
3397.661527	-1.658246	
3397.663527	-1.658341	
3397.665529	-1.658306	
3397.669527	-1.658387	
3397.671527	-1.658347	
3397.673527	-1.658343	
3397.677526	-1.658242	
3397.679527	-1.658257	
3397.681527	-1.658352	
3397.683529	-1.658285	
3397.687527	-1.658331	
3397.691528	-1.658280	
3397.693527	-1.658190	
3397.695528	-1.658058	
3397.697527	-1.657995	
3397.699527	-1.657821	
3397.701527	-1.657740	
3397.705526	-1.657504	
3397.707526	-1.657091	
3397.711527	-1.657000	
3397.713527	-1.635252	
3397.715527	-1.487995	
3397.717527	-1.354959	
3397.719527	-1.206841	
3397.721527	-1.056507	
3397.723527	-0.917589	
3397.725526	-0.754136	
3397.727527	-0.600788	
3397.731527	-0.452530	
3397.733527	-0.134490	
3397.735527	0.026357	
3397.737527	0.194228	
3397.739527	0.340831	
3397.741528	0.494658	
3397.743527	0.663489	
3397.747526	0.807710	
3397.751526	1.130999	
3397.753528	1.432237	
3397.755527	1.576354	
3397.757527	1.603802	
3397.759527	1.603942	
3397.761527	1.603930	
3397.763527	1.603850	
3397.767526	1.603931	
3397.769527	1.603921	
3397.773527	1.603881	
3397.775529	1.603945	
3397.777527	1.603944	
3397.779528	1.603977	
3397.781527	1.603948	
3397.783527	1.603919	
3397.785527	1.603938	
3397.789527	1.603960	
3397.793527	1.603903	
3397.795527	1.603928	
3397.797527	1.603851	
3397.799527	1.603902	
3397.801526	1.603912	
3397.803527	1.603935	
3397.805527	1.603937	
3397.809527	1.603925	
3397.813527	1.603929	
3397.815527	1.603914	
3397.817527	1.603924	
3397.819527	1.603940	
3397.821527	1.603944	
3397.823527	1.603968	
3397.825528	1.603916	
3397.829527	1.603927	
3397.833527	1.603959	
3397.835527	1.603966	
3397.837527	1.603951	
3397.839527	1.603933	
3397.841527	1.603949	
3397.843527	1.603930	
3397.845527	1.603968	
3397.847527	1.603968	
3397.851527	1.603876	
3397.853527	1.603889	
3397.855527	1.603889	
3397.857528	1.603937	
3397.859527	1.603896	
3397.861527	1.603866	
3397.863528	1.603889	
3397.865527	1.603890	
3397.867527	1.603923	
3397.869527	1.603802	
3397.871527	1.603359	
3397.875527	1.561580	
3397.877527	1.421045	
3397.879527	1.346738	
3397.881527	1.285720	
3397.883527	1.213035	
3397.885532	1.145917	
3397.889526	1.085632	
