crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-49.666229	2242	0.000000
281474976710655.000000	-40.515865	2243	0.000000
281474976710655.000000	-39.947063	2244	0.000000
281474976710655.000000	-49.153179	2245	0.000000
281474976710655.000000	-37.340794	2246	0.000000
281474976710655.000000	-48.501137	2247	0.000000
281474976710655.000000	-49.662048	2248	0.000000
281474976710655.000000	-42.260330	2249	0.000000
281474976710655.000000	-46.562168	2250	0.000000
281474976710655.000000	-58.924740	2251	0.000000
281474976710655.000000	-40.199505	2252	0.000000
281474976710655.000000	-36.377026	2253	0.000000
281474976710655.000000	-41.297268	2254	0.000000
281474976710655.000000	-54.775665	2255	0.000000
281474976710655.000000	-42.533054	2256	0.000000
281474976710655.000000	-48.115273	2257	0.000000
281474976710655.000000	-45.522911	2258	0.000000
281474976710655.000000	-36.456032	2259	0.000000
281474976710655.000000	-43.429096	2260	0.000000
281474976710655.000000	-52.381714	2261	0.000000
281474976710655.000000	-53.596382	2262	0.000000
281474976710655.000000	-37.216442	2263	0.000000
281474976710655.000000	-43.451027	2264	0.000000
281474976710655.000000	-43.148804	2265	0.000000
281474976710655.000000	-33.972713	2266	0.000000
281474976710655.000000	-43.004734	2267	0.000000
281474976710655.000000	-40.614662	2268	0.000000
281474976710655.000000	-38.044224	2269	0.000000
281474976710655.000000	-40.726467	2270	0.000000
281474976710655.000000	-47.943188	2271	0.000000
281474976710655.000000	-34.145664	2272	0.000000
281474976710655.000000	-58.743839	2273	0.000000
281474976710655.000000	-34.286198	2274	0.000000
281474976710655.000000	-52.304596	2275	0.000000
281474976710655.000000	-34.745457	2276	0.000000
281474976710655.000000	-44.174183	2277	0.000000
281474976710655.000000	-46.405659	2278	0.000000
281474976710655.000000	-42.833549	2279	0.000000
281474976710655.000000	-34.863800	2280	0.000000
281474976710655.000000	-44.047501	2281	0.000000
281474976710655.000000	-35.327896	2282	0.000000
281474976710655.000000	-43.535965	2283	0.000000
281474976710655.000000	-39.663322	2284	0.000000
281474976710655.000000	-39.461197	2285	0.000000
281474976710655.000000	-49.325302	2286	0.000000
281474976710655.000000	-41.674961	2287	0.000000
281474976710655.000000	-42.917942	2288	0.000000
281474976710655.000000	-34.165302	2289	0.000000
281474976710655.000000	-36.133942	2290	0.000000
281474976710655.000000	-43.244522	2291	0.000000
281474976710655.000000	-34.197350	2292	0.000000
281474976710655.000000	-40.030380	2293	0.000000
281474976710655.000000	-35.339096	2294	0.000000
281474976710655.000000	-42.505825	2295	0.000000
281474976710655.000000	-38.791584	2296	0.000000
281474976710655.000000	-41.851841	2297	0.000000
281474976710655.000000	-43.455631	2298	0.000000
281474976710655.000000	-42.036335	2299	0.000000
281474976710655.000000	-37.023098	2300	0.000000
281474976710655.000000	-51.977634	2301	0.000000
281474976710655.000000	-49.058414	2302	0.000000
281474976710655.000000	-47.643719	2303	0.000000
281474976710655.000000	-39.416080	2304	0.000000
281474976710655.000000	-45.239895	2305	0.000000
281474976710655.000000	-30.251259	2306	0.000000
281474976710655.000000	-41.298153	2307	0.000000
281474976710655.000000	-28.811571	2308	0.000000
281474976710655.000000	-56.372711	2309	0.000000
281474976710655.000000	-34.806496	2310	0.000000
281474976710655.000000	-42.163231	2311	0.000000
281474976710655.000000	-34.521957	2312	0.000000
281474976710655.000000	-52.470325	2313	0.000000
281474976710655.000000	-39.766136	2314	0.000000
281474976710655.000000	-53.108894	2315	0.000000
281474976710655.000000	-38.907417	2316	0.000000
281474976710655.000000	-49.642075	2317	0.000000
281474976710655.000000	-33.796143	2318	0.000000
281474976710655.000000	-33.200111	2319	0.000000
281474976710655.000000	-34.254910	2320	0.000000
281474976710655.000000	-48.115952	2321	0.000000
281474976710655.000000	-35.580917	2322	0.000000
281474976710655.000000	-49.432114	2323	0.000000
281474976710655.000000	-35.116096	2324	0.000000
281474976710655.000000	-43.714642	2325	0.000000
281474976710655.000000	-36.577053	2326	0.000000
281474976710655.000000	-34.324883	2327	0.000000
281474976710655.000000	-30.309090	2328	0.000000
281474976710655.000000	-52.775246	2329	0.000000
281474976710655.000000	-42.563114	2330	0.000000
281474976710655.000000	-40.837749	2331	0.000000
281474976710655.000000	-34.104721	2332	0.000000
281474976710655.000000	-35.747787	2333	0.000000
281474976710655.000000	-34.655437	2334	0.000000
281474976710655.000000	-50.112560	2335	0.000000
281474976710655.000000	-33.886608	2336	0.000000
281474976710655.000000	-48.571541	2337	0.000000
281474976710655.000000	-32.202118	2338	0.000000
281474976710655.000000	-33.414810	2339	0.000000
281474976710655.000000	-45.251766	2340	0.000000
281474976710655.000000	-43.244629	2341	0.000000
281474976710655.000000	-42.715496	2342	0.000000
281474976710655.000000	-31.599400	2343	0.000000
281474976710655.000000	-40.409889	2344	0.000000
281474976710655.000000	-35.517246	2345	0.000000
281474976710655.000000	-33.806015	2346	0.000000
281474976710655.000000	-36.420738	2347	0.000000
281474976710655.000000	-40.105057	2348	0.000000
281474976710655.000000	-54.774090	2349	0.000000
281474976710655.000000	-33.019615	2350	0.000000
281474976710655.000000	-40.551628	2351	0.000000
281474976710655.000000	-35.051311	2352	0.000000
281474976710655.000000	-41.610661	2353	0.000000
281474976710655.000000	-31.884895	2354	0.000000
281474976710655.000000	-42.278358	2355	0.000000
281474976710655.000000	-36.627960	2356	0.000000
281474976710655.000000	-30.251390	2357	0.000000
281474976710655.000000	-33.343697	2358	0.000000
281474976710655.000000	-46.094723	2359	0.000000
281474976710655.000000	-30.102125	2360	0.000000
281474976710655.000000	-30.771822	2361	0.000000
281474976710655.000000	-32.205345	2362	0.000000
281474976710655.000000	-51.884163	2363	0.000000
281474976710655.000000	-28.090878	2364	0.000000
281474976710655.000000	-38.024937	2365	0.000000
281474976710655.000000	-36.310974	2366	0.000000
281474976710655.000000	-35.406609	2367	0.000000
281474976710655.000000	-36.668186	2368	0.000000
281474976710655.000000	-31.952118	2369	0.000000
281474976710655.000000	-32.225029	2370	0.000000
281474976710655.000000	-38.028988	2371	0.000000
281474976710655.000000	-29.121201	2372	0.000000
281474976710655.000000	-41.239624	2373	0.000000
281474976710655.000000	-35.998978	2374	0.000000
281474976710655.000000	-29.811790	2375	0.000000
281474976710655.000000	-29.117535	2376	0.000000
281474976710655.000000	-40.941570	2377	0.000000
281474976710655.000000	-32.303467	2378	0.000000
281474976710655.000000	-36.634266	2379	0.000000
281474976710655.000000	-37.355602	2380	0.000000
281474976710655.000000	-38.531834	2381	0.000000
281474976710655.000000	-33.419609	2382	0.000000
281474976710655.000000	-32.651367	2383	0.000000
281474976710655.000000	-35.007404	2384	0.000000
281474976710655.000000	-37.390457	2385	0.000000
281474976710655.000000	-36.187698	2386	0.000000
281474976710655.000000	-30.649809	2387	0.000000
281474976710655.000000	-29.857271	2388	0.000000
281474976710655.000000	-36.306232	2389	0.000000
